epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,18083.4,1.22854,0.73235,1.25494,0.88202,0.86663,0.9044,0.62739,1.14579,0.60135,1.22896,0.000884316,0.000884316,0.000884316
79,18315.4,1.22318,0.73584,1.24654,0.88334,0.86726,0.90242,0.62671,1.14294,0.59865,1.22807,0.000872424,0.000872424,0.000872424
80,18543.4,1.21643,0.71683,1.25087,0.89114,0.86427,0.9018,0.6283,1.14053,0.59714,1.22746,0.000860532,0.000860532,0.000860532
81,18773,1.21941,0.72155,1.25036,0.89064,0.86515,0.90394,0.62983,1.14024,0.5964,1.22581,0.00084864,0.00084864,0.00084864
82,19003.3,1.21124,0.71438,1.24559,0.89038,0.86263,0.90516,0.63247,1.13956,0.59218,1.22658,0.000836748,0.000836748,0.000836748
83,19236.3,1.211,0.71822,1.24533,0.88077,0.8644,0.9035,0.63142,1.13823,0.59282,1.22439,0.000824856,0.000824856,0.000824856
84,19470.7,1.21325,0.72508,1.24475,0.88907,0.8673,0.90505,0.63217,1.14041,0.59411,1.22506,0.000812964,0.000812964,0.000812964
85,19698.3,1.21357,0.71676,1.24155,0.88337,0.8677,0.90377,0.63373,1.14118,0.59111,1.22489,0.000801072,0.000801072,0.000801072
86,19926.1,1.21116,0.71467,1.24568,0.88153,0.86569,0.903,0.6319,1.13984,0.59045,1.22637,0.00078918,0.00078918,0.00078918
87,20153,1.20166,0.71687,1.23918,0.88589,0.8596,0.90223,0.63193,1.14132,0.5903,1.22678,0.000777288,0.000777288,0.000777288
88,20384,1.2017,0.71991,1.23873,0.89192,0.85886,0.90441,0.63162,1.14284,0.58992,1.22852,0.000765396,0.000765396,0.000765396
89,20611.7,1.20217,0.72061,1.2448,0.89207,0.85785,0.90453,0.63136,1.14215,0.59124,1.2271,0.000753504,0.000753504,0.000753504
90,20839.7,1.19775,0.7009,1.23991,0.89465,0.85562,0.90526,0.63368,1.14104,0.58849,1.22684,0.000741612,0.000741612,0.000741612
91,21067,1.19141,0.70639,1.23924,0.88265,0.86332,0.90554,0.63432,1.14218,0.58514,1.22766,0.00072972,0.00072972,0.00072972
92,21295.1,1.1875,0.69599,1.22648,0.88201,0.86735,0.90653,0.63501,1.14176,0.5827,1.22767,0.000717828,0.000717828,0.000717828
